Country,Year,Count
All other countries,1955,2625
Africa,1955,0
Other Asia,1955,0
India,1955,0
Hong Kong,1955,0
Vietnam,1955,0
Philippines,1955,0
Australasia,1955,1700
South America,1955,0
Other North America,1955,0
West Indies,1955,793
United States,1955,10395
Other Europe,1955,9962
Greece,1955,2856
Italy,1955,19139
Portugal,1955,1136
Poland,1955,0
France,1955,2869
Germany,1955,17630
Netherlands,1955,6759
Great Britain,1955,30420
Great Britain,1956,52619
France,1956,3809
Germany,1956,26061
Netherlands,1956,7792
Greece,1956,4986
Italy,1956,27939
Portugal,1956,1697
Other Europe,1956,20651
Poland,1956,0
India,1956,0
Hong Kong,1956,0
Vietnam,1956,0
Philippines,1956,0
Other Asia,1956,0
Australasia,1956,1924
United States,1956,9777
West Indies,1956,1058
All other countries,1956,3007
Africa,1956,0
Other North America,1956,0
South America,1956,0
Great Britain,1957,114347
France,1957,5869
Germany,1957,28430
Netherlands,1957,11934
Greece,1957,5460
Italy,1957,27740
Portugal,1957,4423
Other Europe,1957,59208
Poland,1957,0
India,1957,0
Hong Kong,1957,0
Vietnam,1957,0
Philippines,1957,0
Other Asia,1957,0
Australasia,1957,3345
United States,1957,11008
West Indies,1957,1162
All other countries,1957,5867
Africa,1957,0
Other North America,1957,0
South America,1957,0
Great Britain,1958,26003
France,1958,2727
Germany,1958,13888
Netherlands,1958,7420
Greece,1958,5190
Italy,1958,27043
Portugal,1958,1938
Other Europe,1958,17843
Poland,1958,0
India,1958,0
Hong Kong,1958,0
Vietnam,1958,0
Philippines,1958,0
Other Asia,1958,0
Australasia,1958,2344
United States,1958,10846
West Indies,1958,1192
All other countries,1958,3967
Africa,1958,0
Other North America,1958,0
South America,1958,0
Great Britain,1959,19037
France,1959,2153
Germany,1959,10423
Netherlands,1959,5243
Greece,1959,4867
Italy,1959,25655
Portugal,1959,4080
Other Europe,1959,12842
Poland,1959,0
India,1959,0
Hong Kong,1959,0
Vietnam,1959,0
Philippines,1959,0
Other Asia,1959,0
