"Table 051-0006 Immigrants to Canada, by country of last permanent residence, quarterly (persons)(1,2,6)",,,,,,,,,,,,,,,,,,,,,,,,,
Survey or program details:,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Demographic Estimates - 3601,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Last permanent residence,Total immigrants,Total Europe,Great Britain (3),France,Germany,Netherlands,Greece,Italy,Portugal,Other Europe (4),Poland,Total Asia,India,Hong Kong,Vietnam,Philippines,Other Asia,Australasia,"Total United States, West Indies",United States,West Indies (5),All other countries,Africa,Other North and Central America,South America
Q1 1955,17627,13775,4270,343,1921,1058,521,4296,21,1345,,747,,,,,,406,2148,2062,86,551,,,
Q2 1955,40790,35678,12329,1102,5744,3378,778,7121,984,4242,,1062,,,,,,524,2753,2572,181,773,,,
Q3 1955,28190,22660,7877,771,5700,1796,570,3168,37,2741,,892,,,,,,391,3526,3268,258,721,,,
Q4 1955,23339,18658,5944,653,4265,527,987,4554,94,1634,,961,,,,,,379,2761,2493,268,580,,,
Q1 1956,18963,15293,4862,369,2233,1039,687,4005,256,1842,,863,,,,,,331,2035,1915,120,441,,,
Q2 1956,50961,46079,18085,1157,7629,3493,1327,7582,959,5847,,955,,,,,,625,2552,2265,287,750,,,
Q3 1956,40085,34909,12437,943,6779,2146,875,6809,246,4674,,944,,,,,,487,2934,2679,255,811,,,
Q4 1956,54848,49273,17235,1340,9420,1114,2097,9543,236,8288,,775,,,,,,481,3314,2918,396,1005,,,
Q1 1957,62460,57936,23494,982,4417,1706,1257,7105,576,18399,,576,,,,,,447,2200,2071,129,1301,,,
Q2 1957,119956,113075,51265,2437,11168,5929,1081,11130,3129,26936,,951,,,,,,1502,2756,2461,295,1672,,,
Q3 1957,61850,54508,25670,1685,7775,3558,1680,4485,328,9327,,883,,,,,,888,3948,3557,391,1623,,,
Q4 1957,37898,31892,13918,765,5070,741,1442,5020,390,4546,,961,,,,,,508,3266,2919,347,1271,,,
Q1 1958,21243,16869,5213,310,1597,560,1191,4834,364,2800,,764,,,,,,410,2341,2186,155,859,,,
Q2 1958,46501,40105,10768,1165,6557,4357,1379,8565,570,6744,,1207,,,,,,1094,2754,2514,240,1341,,,
Q3 1958,32387,25852,6151,811,3598,1768,1320,6543,438,5223,,1268,,,,,,502,3718,3343,375,1047,,,
Q4 1958,24720,19226,3871,441,2136,735,1300,7101,566,3076,,1211,,,,,,338,3225,2803,422,720,,,
Q1 1959,16955,12972,2379,298,908,477,655,5679,490,2086,,1024,,,,,,173,2313,2098,215,473,,,
Q2 1959,40134,33999,8345,752,4747,2793,1682,8991,1216,5473,,1461,,,,,,599,3114,2826,288,961,,,
Q3 1959,28266,21104,5049,656,3001,1650,1218,5519,1431,2580,,1780,,,,,,460,3994,3660,334,928,,,
Q4 1959,21573,16225,3264,447,1767,323,1312,5466,943,2703,,1343,,,,,,280,3113,2754,359,612,,,
Q1 1960,16599,12395,2752,245,1030,504,981,4060,1058,1765,,1071,,,,,,246,2293,2118,175,594,,,
Q2 1960,41442,35788,9393,1115,5285,3608,1357,7565,2099,5366,,1069,,,,,,779,2808,2506,302,998,,,
Q3 1960,25802,19208,4894,1022,2787,1046,1373,4427,983,2676,,1001,,,,,,375,4357,3876,481,861,,,
Q4 1960,20268,15315,3345,562,1672,271,1145,4629,883,2808,,1077,,,,,,257,2957,2747,210,662,,,
Q1 1961,11839,8084,1586,253,764,233,582,2714,626,1326,,708,,,,,,294,2197,2023,174,556,,,
Q2 1961,24943,19726,4792,840,3029,993,906,4600,957,3609,,735,,,,,,533,3071,2661,410,878,,,
Q3 1961,19386,13019,3493,745,1389,392,1080,3539,519,1862,,784,,,,,,373,4418,4104,314,792,,,
